,child_id,parent_id,child_context,parent_context
1366,ДОЛГОВРЕМЕННЫЙ (ПРОЧНЫЙ),"КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, долговременный (прочный), основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1367,ДОБРОТНЫЙ,"КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, добротный, основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1368,ПЛОТНЫЙ (ТОЛСТЫЙ И ПРОЧНЫЙ),"КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, плотный (толстый и прочный), основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1369,ЖАРОПРОЧНЫЙ,"КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, жаропрочный, основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1370,ИЗНОСОУСТОЙЧИВОСТЬ,"КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, износоустойчивость, основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1371,МЕХАНИЧЕСКАЯ ПРОЧНОСТЬ,"КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, механическая прочность, основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1372,"НЕЗЫБЛЕМЫЙ (КРЕПКИЙ, УСТОЙЧИВЫЙ)","КРЕПКИЙ, ПРОЧНЫЙ","свой ум: видишь, какой славный, незыблемый (крепкий, устойчивый), основательный! ","свой ум: видишь, какой славный, крепкий, прочный, основательный! "
1375,ШОВИНИЗМ,НАЦИОНАЛЬНОЕ ПРЕВОСХОДСТВО,"подобного рода было призвано подчеркнуть шовинизм немцев, позволяло ярче оттенить","подобного рода было призвано подчеркнуть национальное превосходство немцев, позволяло ярче оттенить"
1388,ПРИШИТЬ (ПРИКРЕПИТЬ),СШИВАТЬ,"мы расскажем о том, как пришить (прикрепить) уже готовый туес. ","мы расскажем о том, как сшивать уже готовый туес. "
1389,ЗАШИТЬ (СОЕДИНИТЬ ШВОМ),СШИВАТЬ,"мы расскажем о том, как зашить (соединить швом) уже готовый туес. ","мы расскажем о том, как сшивать уже готовый туес. "
1390,МЕТАТЬ (ШИТЬ),СШИВАТЬ,"мы расскажем о том, как метать (шить) уже готовый туес. ","мы расскажем о том, как сшивать уже готовый туес. "
1391,ПРОШИТЬ ШВОМ,СШИВАТЬ,"мы расскажем о том, как прошить швом уже готовый туес. ","мы расскажем о том, как сшивать уже готовый туес. "
1392,ЗЛОСЛОВИТЬ,РАСПРОСТРАНЕНИЕ СЛУХОВ," Дальнейшее злословить равносильно измене, ты понял"," Дальнейшее распространение слухов равносильно измене, ты понял"
1394,ЗЕНИТЧИК,РАКЕТЧИК,"ездили, у них отец полковник-зенитчик, и лагерь пионерский тоже ракетный","ездили, у них отец полковник-ракетчик, и лагерь пионерский тоже ракетный"
1407,ВЫСОКАЯ КАЛОРИЙНОСТЬ,СЫТНЫЙ," Красивый, тихий, высокая калорийность кошмар с чистым воздухом. "," Красивый, тихий, сытный кошмар с чистым воздухом. "
1408,КРАТКОСРОЧНЫЙ КРЕДИТ,КРАТКОСРОЧНЫЕ ФИНАНСОВЫЕ ВЛОЖЕНИЯ,предварительно производится оценка групп статей «краткосрочный кредит» и «дебиторская задолженность,предварительно производится оценка групп статей «краткосрочные финансовые вложения» и «дебиторская задолженность
1413,НАРОДНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как народный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1414,ДУХОВОЙ МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как духовой музыкальный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1415,УДАРНЫЙ МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как ударный музыкальный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1416,АККОРДЕОН,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как аккордеон, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1417,КЛАВИШНЫЙ МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как клавишный музыкальный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1418,БАЯН,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как баян, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1419,СТРУННЫЙ МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как струнный музыкальный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1420,СТАРИННЫЙ МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как старинный музыкальный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1421,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как электромузыкальный инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1422,АКУСТИЧЕСКИЙ ИНСТРУМЕНТ,МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"ведущий голос, а тенор ― как акустический инструмент, которому отдана функция слова","ведущий голос, а тенор ― как музыкальный инструмент, которому отдана функция слова"
1423,РОМАНИСТ (ПИСАТЕЛЬ),ПРОЗАИК,"Нонна Мордюкова; кинорежиссёр Глеб Панфилов; романист (писатель) Борис Стругацкий, драматург Виктор Розов","Нонна Мордюкова; кинорежиссёр Глеб Панфилов; прозаик Борис Стругацкий, драматург Виктор Розов"
1424,ВОЕННЫЙ КОРАБЛЬ,БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1425,ЛЕДОКОЛ,БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1426,ГРУЗОВОЕ СУДНО,БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1427,МОРСКОЕ СУДНО,БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1428,АТОМНОЕ СУДНО,БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1429,ЛАЙНЕР (БОЛЬШОЕ СУДНО),БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1430,ФЛАГМАНСКИЙ КОРАБЛЬ,БОЛЬШОЙ КОРАБЛЬ,"Игра, которую задумала Бетти, называлась «Большой корабль». ","Игра, которую задумала Бетти, называлась «Большой корабль». "
1431,КОЛЬЦО (УКРАШЕНИЕ),КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1432,КОЛЕСО,КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1433,ОБОД (КОЛЬЦО),КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1434,БАСКЕТБОЛЬНАЯ КОРЗИНА,КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1435,КРЕПЕЖНАЯ ШАЙБА,КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1436,ОШЕЙНИК ДЛЯ ЖИВОТНОГО,КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1437,ЗВЕНО ЦЕПИ,КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1438,"КАНДАЛЫ, ОКОВЫ",КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1439,ПЕТЛЯ (КОЛЬЦО),КОЛЬЦО (ПРЕДМЕТ),"этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный","этот эластичный, представляющий собой полое кольцо предмет заменяет хорошо укомплектованный тренажерный"
1440,"БОЛОТО, ТРЯСИНА (ОБСТАНОВКА)",ЗАТРУДНИТЕЛЬНОЕ ПОЛОЖЕНИЕ,"всякий раз, когда попадала в болото, трясина (обстановка). ","всякий раз, когда попадала в затруднительное положение. "
1441,РЕАБИЛИТАЦИЯ ТЕРРИТОРИИ,РЕАБИЛИТИРОВАТЬ, Реабилитировать непонимание капризной кошачьей натуры может, Реабилитировать непонимание капризной кошачьей натуры может
1442,ПАРАПЛАН (СПОРТИВНЫЙ ПАРАШЮТ),ПАРАШЮТ,болтавшийся у него за спиной параплан (спортивный парашют) и автомат ППШ» Так гласит,болтавшийся у него за спиной парашют и автомат ППШ» Так гласит
1443,ЛАКИРОВКА ДЕЙСТВИТЕЛЬНОСТИ,ИДЕАЛИЗАЦИЯ ДЕЙСТВИТЕЛЬНОСТИ,бравому балтийцу была присуща некоторая лакировка действительности. ,бравому балтийцу была присуща некоторая идеализация действительности. 
1444,РОМАНТИЗМ (МИРООЩУЩЕНИЕ),ИДЕАЛИЗАЦИЯ ДЕЙСТВИТЕЛЬНОСТИ,бравому балтийцу была присуща некоторая романтизм (мироощущение). ,бравому балтийцу была присуща некоторая идеализация действительности. 
1445,РОМАНТИЗАЦИЯ,ИДЕАЛИЗАЦИЯ ДЕЙСТВИТЕЛЬНОСТИ,бравому балтийцу была присуща некоторая романтизация. ,бравому балтийцу была присуща некоторая идеализация действительности. 
1453,КРАЙНИЙ СЕВЕР РФ,РАЙОНЫ КРАЙНЕГО СЕВЕРА,и об отгрузке продовольствия в районы крайнего Севера являются обязательными для,и об отгрузке продовольствия в районы крайнего Севера являются обязательными для
1455,ПРИБРЕЖНАЯ ТЕРРИТОРИЯ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами прибрежная территория? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1456,САД (УЧАСТОК ЗЕМЛИ),ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами сад (участок земли)? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1457,ОГОРОД,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами огород? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1458,ЗЕМЛЕВЛАДЕНИЕ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами землевладение? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1459,ЦВЕТНИК (ЗЕМЕЛЬНЫЙ УЧАСТОК),ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами цветник (земельный участок)? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1460,ДАЧНЫЙ УЧАСТОК,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами дачный участок? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1461,УЧАСТОК ПОД СТРОИТЕЛЬСТВО,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами участок под строительство? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1462,ГОРОДСКАЯ ЗЕМЛЯ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами городская земля? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1463,ЛУГ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами луг? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1464,ЗАРОСЛЬ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами заросль? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1465,ПУСТОШЬ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами пустошь? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1466,ПУСТЫРЬ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами пустырь? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1467,ЗЕМЕЛЬНЫЙ КЛИН,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами земельный клин? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1468,ДВОР (ЗЕМЕЛЬНЫЙ УЧАСТОК),ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами двор (земельный участок)? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1469,ПОЛЯНА В ЛЕСУ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами поляна в лесу? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1470,КЕМПИНГ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами кемпинг? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1471,ТЕРРИТОРИЯ УЧЕБНОГО ЗАВЕДЕНИЯ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами территория учебного заведения? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1472,КЛОК ЗЕМЛИ,ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами клок земли? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1473,ОТВОД (ЗЕМЕЛЬНЫЙ УЧАСТОК),ЗЕМЕЛЬНЫЙ УЧАСТОК,"находится Ваш или используемый Вами отвод (земельный участок)? ―"" распределились следующим образом: ","находится Ваш или используемый Вами земельный участок? ―"" распределились следующим образом: "
1474,ТЕЛЕРЕПОРТАЖ,ИНФОРМАЦИОННАЯ ТЕЛЕПРОГРАММА, Информационная телепрограмма «600 секунд» прослаивает криминальные, Информационная телепрограмма «600 секунд» прослаивает криминальные
1475,СЖИЖЕННЫЙ ГАЗ,АЛЬТЕРНАТИВНЫЕ  ВИДЫ ТОПЛИВА," Обсуждали альтернативные виды топлива, новые топливные энергетические"," Обсуждали альтернативные виды топлива, новые топливные энергетические"
1476,БИОЛОГИЧЕСКОЕ ТОПЛИВО,АЛЬТЕРНАТИВНЫЕ  ВИДЫ ТОПЛИВА," Обсуждали альтернативные виды топлива, новые топливные энергетические"," Обсуждали альтернативные виды топлива, новые топливные энергетические"
1477,ПИЯВКА (ЧЕРВЬ),КОЛЬЧАТЫЙ ЧЕРВЬ,"сделанных роботом, явственно проступили голотурия, пиявка (червь) и несколько креветок. ","сделанных роботом, явственно проступили голотурия, кольчатый червь и несколько креветок. "
1478,РЖАНОЙ ХЛЕБ,ЧЕРНЫЙ ХЛЕБ,"огоньки"" нас не баловали ― сплошной ""чёрный хлеб"" да ""Докторская"". ","огоньки"" нас не баловали ― сплошной ""чёрный хлеб"" да ""Докторская"". "
1479,ТАЩИТЬ ТЯЖЕЛОЕ,НЕСТИ С СОБОЙ,"молоко, яички, колобки ― приходилось тоже тащить тяжелое. ","молоко, яички, колобки ― приходилось тоже нести с собой. "
1480,АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА,СПАСАТЕЛЬНАЯ СЛУЖБА,"машины очень быстро убирает дорожная аварийно-спасательная служба, чтобы они не портили","машины очень быстро убирает дорожная спасательная служба, чтобы они не портили"
1481,ГОРНОСПАСАТЕЛЬНАЯ СЛУЖБА,СПАСАТЕЛЬНАЯ СЛУЖБА,"машины очень быстро убирает дорожная горноспасательная служба, чтобы они не портили","машины очень быстро убирает дорожная спасательная служба, чтобы они не портили"
1492,ЖГУЧИЙ БРЮНЕТ,БРЮНЕТ,"в очках, с длинными кудрями, жгучий брюнет и красавец. ","в очках, с длинными кудрями, брюнет и красавец. "
1493,МАГНИТНОЕ ПОЛЕ ЗЕМЛИ,МАГНИТНОЕ ПОЛЕ, Если магнитное поле земли нейтронной звезды относительно невелико, Если магнитное поле нейтронной звезды относительно невелико
1494,ТЕРРИТОРИАЛЬНЫЕ ВОДЫ,ПРИБРЕЖНЫЕ ВОДЫ, Морские коньки населяют территориальные воды тропических и субтропических морей, Морские коньки населяют прибрежные воды тропических и субтропических морей
1496,ПОКЛАДИСТЫЙ,УЖИВЧИВЫЙ,"эволюцию автора «Тихого Дона»), И покладистый, вечно пригождающийся, ставший «символом преемственности","эволюцию автора «Тихого Дона»), И уживчивый, вечно пригождающийся, ставший «символом преемственности"
1497,ОБЩИТЕЛЬНЫЙ,УЖИВЧИВЫЙ,"эволюцию автора «Тихого Дона»), И общительный, вечно пригождающийся, ставший «символом преемственности","эволюцию автора «Тихого Дона»), И уживчивый, вечно пригождающийся, ставший «символом преемственности"
1504,ВОДОМЕТ,ШЛАНГ,года её нет ― приходится протягивать водомет через всю квартиру из кухни,года её нет ― приходится протягивать шланг через всю квартиру из кухни
1505,РУКАВ (ШЛАНГ),ШЛАНГ,года её нет ― приходится протягивать рукав (шланг) через всю квартиру из кухни,года её нет ― приходится протягивать шланг через всю квартиру из кухни
1506,ИМПОТЕНЦИЯ (ПОЛОВОЕ БЕССИЛИЕ),БЕССИЛИЕ (НЕСПОСОБНОСТЬ),"всё равно что обнаружить своё бессилие, неспособность к слиянию,импотенцию  . ","всё равно что обнаружить своё бессилие, неспособность к слиянию,импотенцию  . "
1512,ЯРКИЙ ПО СВЕТУ,ЯРКОСТЬ СВЕТА," «Яркость света, которую даёт новый прибор"," «Яркость света, которую даёт новый прибор"
1513,"ТУСКЛЫЙ, НЕЯРКИЙ",ЯРКОСТЬ СВЕТА," «Яркость света, которую даёт новый прибор"," «Яркость света, которую даёт новый прибор"
1514,СКИФ,АКАДЕМИЧЕСКОЕ СУДНО,"постоянных запретов, попав на комфортабельное скиф, которым командовал весьма колоритный","постоянных запретов, попав на комфортабельное академическое судно, которым командовал весьма колоритный"
1515,КЛИНКЕР,АКАДЕМИЧЕСКОЕ СУДНО,"постоянных запретов, попав на комфортабельное клинкер, которым командовал весьма колоритный","постоянных запретов, попав на комфортабельное академическое судно, которым командовал весьма колоритный"
1516,УРАГАН,ВЕТЕР,Ну пусть потрубят…   Собака лает ураган носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1517,БРИЗ,ВЕТЕР,Ну пусть потрубят…   Собака лает бриз носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1518,МЕТЕЛЬ,ВЕТЕР,Ну пусть потрубят…   Собака лает метель носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1519,ШКВАЛИСТЫЙ ВЕТЕР,ВЕТЕР,Ну пусть потрубят…   Собака лает шквалистый ветер носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1520,ВИХРЬ,ВЕТЕР,Ну пусть потрубят…   Собака лает вихрь носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1521,ПОРЫВ ВЕТРА,ВЕТЕР,Ну пусть потрубят…   Собака лает порыв ветра носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1522,СКВОЗНЯК,ВЕТЕР,Ну пусть потрубят…   Собака лает сквозняк носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1523,МИСТРАЛЬ,ВЕТЕР,Ну пусть потрубят…   Собака лает мистраль носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1524,ПАССАТ,ВЕТЕР,Ну пусть потрубят…   Собака лает пассат носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1525,МУССОН,ВЕТЕР,Ну пусть потрубят…   Собака лает муссон носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1526,ШТОРМОВОЙ ВЕТЕР,ВЕТЕР,Ну пусть потрубят…   Собака лает штормовой ветер носит…   Им же нужно делать,Ну пусть потрубят…   Собака лает ветер носит…   Им же нужно делать
1527,"РАЗМАХНУТЬ (ШИРОКО РАССТАВИТЬ, РАСПРОСТЕРЕТЬ)",РАССТАВИТЬ В СТОРОНЫ,"обхватить ноги за голени, локти размахнуть (широко расставить, распростереть), голову и шею","обхватить ноги за голени, локти расставить в стороны, голову и шею"
1528,РАСКИНУТЬ В СТОРОНЫ,РАССТАВИТЬ В СТОРОНЫ,"обхватить ноги за голени, локти раскинуть в стороны, голову и шею","обхватить ноги за голени, локти расставить в стороны, голову и шею"
1531,КОМИССИОНЕР,ТОРГОВЫЙ ПОСРЕДНИК,находится хорошо оплачиваемая должность компрадора (комиссионер между китайцами и европейцами,находится хорошо оплачиваемая должность компрадора (торговый посредник между китайцами и европейцами
1532,ДИСТРИБУТОР,ТОРГОВЫЙ ПОСРЕДНИК,находится хорошо оплачиваемая должность компрадора (дистрибутор между китайцами и европейцами,находится хорошо оплачиваемая должность компрадора (торговый посредник между китайцами и европейцами
1533,ТОРГОВО-ПОСРЕДНИЧЕСКОЕ ПРЕДПРИЯТИЕ,ТОРГОВЫЙ ПОСРЕДНИК,находится хорошо оплачиваемая должность компрадора (торгово-посредническое предприятие между китайцами и европейцами,находится хорошо оплачиваемая должность компрадора (торговый посредник между китайцами и европейцами
1534,ПЕРЕКУПЩИК,ТОРГОВЫЙ ПОСРЕДНИК,находится хорошо оплачиваемая должность компрадора (перекупщик между китайцами и европейцами,находится хорошо оплачиваемая должность компрадора (торговый посредник между китайцами и европейцами
1544,ОТПЕЧАТОК ОТ НАДАВЛИВАНИЯ,СЛЕД НА ПОВЕРХНОСТИ,"которой вполне достаточно, чтобы оставить отпечаток от надавливания дерева. ","которой вполне достаточно, чтобы оставить след на поверхности дерева. "
1545,РУБЕЦ ОТ РАНЫ,СЛЕД НА ПОВЕРХНОСТИ,"которой вполне достаточно, чтобы оставить рубец от раны дерева. ","которой вполне достаточно, чтобы оставить след на поверхности дерева. "
1546,"УКУС, УКУШЕННОЕ МЕСТО",СЛЕД НА ПОВЕРХНОСТИ,"которой вполне достаточно, чтобы оставить укус, укушенное место дерева. ","которой вполне достаточно, чтобы оставить след на поверхности дерева. "
1547,СЛЕД ДВИЖЕНИЯ,СЛЕД НА ПОВЕРХНОСТИ,"которой вполне достаточно, чтобы оставить след движения дерева. ","которой вполне достаточно, чтобы оставить след на поверхности дерева. "
1549,СТРЕЛКА НА ЧАСАХ,СТРЕЛКА ПРИБОРА,"При обнаружении болевой точки электродом, стрелка на часах отклоняется вправо. ","При обнаружении болевой точки электродом, стрелка прибора отклоняется вправо. "
1552,ТОВАРЫ БЫТОВОЙ ХИМИИ,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: товары бытовой химии (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1553,БЫТОВЫЕ ПРИБОРЫ,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: бытовые приборы (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1554,ВЕДРО,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: ведро (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1555,МОЮЩЕЕ СРЕДСТВО,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: моющее средство (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1556,СПИЧКА,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: спичка (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1557,ПРЕДМЕТ ДОМАШНЕГО ОБИХОДА,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: предмет домашнего обихода (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1558,БУМАГА ХОЗЯЙСТВЕННОГО НАЗНАЧЕНИЯ,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,"части непродовольственных товаров повседневного спроса: бумага хозяйственного назначения (предметы гигиены, мыло и","части непродовольственных товаров повседневного спроса: хозяйственные товары (предметы гигиены, мыло и"
1559,ЗВЕЗДНЫЕ ВОЙНЫ,МЕЖДУНАРОДНАЯ НАПРЯЖЕННОСТЬ,"прежде всего, что внешний враг, звездные войны, внешняя опасность, существующая или","прежде всего, что внешний враг, международная напряженность, внешняя опасность, существующая или"
